name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Karlsruher Institut für Technologie,"Fakultät für Bauingenieur-, Geo- und Umweltwissenschaften at the Karlsruher Inst. f. Technologie KIT",90,90,0,c,,,,,,,,,,,,,,,b,,d,1,4,0
Karlsruher Institut für Technologie,"Fakultät für Bauingenieur-, Geo- und Umweltwissenschaften at the Karlsruher Inst. f. Technologie KIT",210,66,144,c,0.821,0.357,,,,,,,,,,,,e,e,d,d,1,1,0
Karlsruher Institut für Technologie,"Fakultät für Bauingenieur-, Geo- und Umweltwissenschaften at the Karlsruher Inst. f. Technologie KIT",370,146,224,c,0.831,0.347,,,,,,,,,,,,e,d,d,d,2,2,0
Karlsruher Institut für Technologie,Fakultät für Geistes- und Sozialwissenschaften at the Karlsruher Inst. f. Technologie KIT,230,70,160,c,0.6,0.207,,,,,,,,,,,,,c,,,1,1,0
Karlsruher Institut für Technologie,KIT-Fakultät für Wirtschaftswissenschaften at the Karlsruher Inst. f. Technologie KIT,"3,200",,"3,200",c,0.762,0.861,2.4,1.9,1.8,1.8,2.2,2.2,2.3,2.1,1.6,1.8,1.7,d,c,c,,1,1,0
Karlsruher Institut für Technologie,Fakultät für Elektrotechnik und Informationstechnik at the Karlsruher Inst. f. Technologie KIT,160,160,0,c,,0.471,,,,,,,,,,,,,a,,d,1,2,0
Karlsruher Institut für Technologie,Fakultät für Maschinenbau at the Karlsruher Inst. f. Technologie KIT,280,170,110,d,0.838,0.439,,,,,2.3,,,2.1,,1.5,,,,e,d,3,5,0
Karlsruher Institut für Technologie,Fakultät für Mathematik at the Karlsruher Inst. f. Technologie KIT,730,229,501,b,0.779,0.568,1.9,,1.8,1.7,1.9,,,1.3,1.7,1.7,,c,a,,,3,3,0
Karlsruher Institut für Technologie,Fakultät für Maschinenbau at the Karlsruher Inst. f. Technologie KIT,280,170,110,d,0.838,0.439,,,,,2.3,,,2.1,,1.5,,,,e,d,3,5,0
Karlsruher Institut für Technologie,Fakultät für Elektrotechnik und Informationstechnik at the Karlsruher Inst. f. Technologie KIT,840,470,370,c,0.787,,2.1,2.1,1.9,2,2.3,2.1,2.3,1.8,,1.4,1.8,d,d,d,d,1,1,0
Karlsruher Institut für Technologie,Fakultät für Physik at the Karlsruher Inst. f. Technologie KIT,"1,110",310,800,b,0.709,0.699,2.2,2,2.4,1.5,1.9,,3.1,2.3,1.4,1.4,1.7,e,d,,,2,1,0
Karlsruher Institut für Technologie,Fakultät für Geistes- und Sozialwissenschaften at the Karlsruher Inst. f. Technologie KIT,370,135,235,b,0.739,0.5,,,,,,2.3,2.6,,,,,,d,c,c,1,1,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,990,307,683,b,0.877,,,,,,,2.4,2.5,,,,,,,,,2,2,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,720,227,493,b,,,,1.6,,1.5,,,,,,,1.9,,,,,3,3,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,590,123,467,b,0.741,0.246,1.5,1.7,1.6,1.4,1.7,2.1,1.5,1.7,1.6,,1.3,b,b,c,e,2,1,0
