id,name,total_number_of_students,students_at_this_campus,tuition_fees,medicine_health_science_per,natural_sciences_mathematics_per,law_economic_and_social_sciences_per,humanities_languages_per,engineering_science_incl_computer_science_per,other_studies_per,bachelors_degree_per,masters_degree_percentage_per,departments
391,Hochschule für angewandte Wissenschaften Augsburg,6558,6558,There are no study fees.,0,0,0.249,0,0.697,0.054,0.806,0.168,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät für Geistes- und Naturwissenschaften), Industrial Engineering (Fakultät für Wirtschaft), Mechanical Engineering, Mechatronics, Process Engineering, Social Policy and Social Work"
392,Hochschule für angewandte Wissenschaften Coburg,5465,5465,There are no study fees.,0.037,0.049,0.396,0,0.482,0.036,0.829,0.166,"Architecture, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Physical Technology, Social Policy and Social Work"
393,Technische Hochschule Deggendorf,7230,6454,There are no study fees.,0.059,0,0.285,0,0.613,0.042,0.819,0.152,"Business Administration, Business Informatics, Business Psychology, Civil Engineering, Computer Science (Fakultät Elektrotechnik, Medientechnik und Informatik), Computer Science (Fakultät Angewandte Gesundheitswissenschaften), Economics, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology"
394,Hochschule für Angewandte Wissenschaften Hof,3223,2886,There are no study fees.,0.005,0,0.574,0,0.421,0,0.723,0.258,"Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Computer Science, Environmental Engineering, Industrial Engineering, Materials Science / Engineering, Mechanical Engineering"
395,Technische Hochschule Ingolstadt,5801,5801,There are no study fees.,0,0,0.345,0,0.655,0,0.773,0.196,"Business Administration (Institut für Akademische Weiterbildung (IAW)), Business Administration (THI Business School), Business Informatics (Fakultät Elektrotechnik und Informatik), Business Informatics (Institut für Akademische Weiterbildung (IAW)), Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät Maschinenbau), Industrial Engineering (Institut für Akademische Weiterbildung (IAW)), Mechanical Engineering, Mechatronics"
396,Hochschule für angewandte Wissenschaften Kempten,5888,5888,There are no study fees.,0.113,0,0.344,0,0.543,0,0.825,0.155,"Business Administration (Fakultät Soziales & Gesundheit), Business Administration (Professional School of Business & Technology), Business Administration (Fakultät Tourismus-Management), Business Administration (Fakultät Betriebswirtschaft), Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät Maschinenbau), Industrial Engineering (Fakultät Elektrotechnik), Materials Science / Engineering, Mechanical Engineering, Mechatronics, Social Policy and Social Work"
397,Hochschule für angewandte Wissenschaften Landshut,4796,4796,There are no study fees.,0,0,0.345,0.017,0.637,0,0.857,0.138,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Social Policy and Social Work"
398,Hochschule für angewandte Wissenschaften München,17987,17987,There are no study fees.,0.023,0.027,0.303,0,0.62,0.026,0.804,0.182,"Architecture, Biotechnology, Business Administration (Fakultät für Tourismus), Business Administration (Fakultät für Betriebswirtschaft), Business Informatics, Chemical Engineering, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology, Social Policy and Social Work"
399,UE - University of Applied Sciences Europe - Iserlohn · Berlin · Hamburg,2716,973,"min. 8.940,00",0,0,0.926,0.051,0,0.023,0.803,0.197,"Business Administration, Business Psychology"
400,Technische Hochschule Nürnberg Georg Simon Ohm,12559,12559,There are no study fees.,0,0.05,0.378,0,0.538,0.034,0.82,0.167,"Architecture, Business Administration (Fachbereich Betriebswirtschaft - IB), Business Administration (Fakultät Betriebswirtschaft), Business Informatics, Chemical Engineering, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Process Engineering, Social Policy and Social Work"
401,ESMT Berlin,364,364,no data,0,0,1,0,0,0,0,1,Business Administration
402,Ostbayerische Technische Hochschule Regensburg,11167,11167,There are no study fees.,0.031,0.027,0.345,0,0.586,0.011,0.837,0.141,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
404,Technische Hochschule Rosenheim,5882,5264,There are no study fees.,0.108,0.024,0.232,0,0.636,0,0.874,0.121,"Business Administration (Fakultät für Angewandte Gesundheits- und Sozialwissenschaften), Business Administration (Fakultät für Betriebswirtschaft), Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Energy Systems, Industrial Engineering, Materials Science / Engineering, Materials Science / Engineering, Mechanical Engineering, Mechatronics"
406,Hochschule Weihenstephan-Triesdorf,6161,3861,There are no study fees.,0,0.089,0.011,0,0.159,0.741,0.903,0.096,"Biotechnology, Business Administration, Industrial Engineering, Process Engineering"
408,Technische Hochschule Aschaffenburg,3220,3220,There are no study fees.,0,0,0.491,0,0.509,0,0.911,0.067,"Business Administration, Commercial / Business Law, Electrical / Information Engineering, Energy Systems, Industrial Engineering, Mechatronics"
409,Hochschule für Angewandte Wissenschaften Würzburg-Schweinfurt,9056,6228,There are no study fees.,0.029,0,0.554,0.02,0.339,0.057,0.903,0.086,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Nursing Science, Process Engineering, Social Policy and Social Work"
410,Katholische Stiftungshochschule München,2365,1732,There are no study fees.,0.29,0,0.71,0,0,0,0.893,0.079,"Nursing Science, Social Policy and Social Work"
