id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
184,Bergische Universität Wuppertal,"University, public",1972,"22,491","22,491","305,88€",There are no study fees.,1.2%,20.9%,22.5%,24.0%,26.8%,4.7%,57.2%,16.0%,25.8%,0.6%,0.4%,https://ranking.zeit.de/che/en/hochschule/184,"Architecture, Biology / Bioscience, Chemistry, Civil Engineering, Economic Sciences, Education Science, Electrical / Information Engineering, English / North American Studies, Geography, German Language and Literature, Industrial Engineering (Fakultät für Elektrotechnik, Informationstechnik und Medientechnik), Industrial Engineering (Fakultät für Architektur und Bauingenieurwesen), Interdisciplinary programmes, Mathematics, Mechanical Engineering, Mechanical Engineering, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7069'}, {'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430548'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430125'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8073?subfach=104'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100256'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30626'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9142?subfach=101'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30625'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491064'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30316'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät für Elektrotechnik, Informationstechnik und Medientechnik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500628'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät für Architektur und Bauingenieurwesen', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600781'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500692?subfach=117'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400224'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140022?subfach=109'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431012?subfach=109'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400225'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600766'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30320'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440086'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430622'}]"
190,Psychologische Hochschule Berlin,"university, private",2010,399,399,"390,00€","min. 193,80€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,7.0%,93.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/190,Psychology,"[{'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604217'}]"
198,Hasso-Plattner-Institut für Digital Engineering gGmbH,"University, private",1998,"20,616",660,"296,06€",There are no study fees.,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,66.0%,34.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/198,Computer Science,"[{'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/800222'}]"
252,Staatliche Akademie der Bildenden Künste Stuttgart,"University, public",1761,891,891,"190,90€",There are no study fees.,0.0%,0.0%,0.0%,0.0%,16.5%,83.5%,11.9%,14.5%,19.3%,0.0%,54.3%,https://ranking.zeit.de/che/en/hochschule/252,Architecture,"[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7078'}]"
266,MSH Medical School Hamburg,"University, private",2009,"2,853","2,853","178,00€","min. 390,00€",18.6%,0.0%,73.0%,0.0%,0.0%,8.3%,75.7%,24.3%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/266,"Nursing Science, Psychology, Social Policy and Social Work","[{'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491003'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600785'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603021'}]"
268,Universität der Künste Berlin,"University, public",1699,"3,913","3,913","313,49€",There are no study fees.,0.0%,0.0%,0.1%,0.0%,9.7%,90.2%,36.2%,27.0%,21.5%,0.0%,15.3%,https://ranking.zeit.de/che/en/hochschule/268,Architecture,"[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7074'}]"
270,CODE - University of Applied Sciences,"University of applied sciences, private",2017,229,229,,no data,0.0%,0.0%,28.8%,0.0%,51.1%,20.1%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/270,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605042'}]"
272,Alanus Hochschule für Kunst und Gesellschaft,"University, private",1973,"1,596","1,596",no data,"min. 231,00€",7.7%,0.0%,53.1%,5.5%,6.0%,27.8%,72.5%,17.5%,7.4%,0.0%,2.6%,https://ranking.zeit.de/che/en/hochschule/272,"Architecture, Business Administration, Education Science","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500561'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600752'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604374'}]"
273,International Psychoanalytic University Berlin,"University, private",2009,610,610,"288,80€","min. 1.800,00€",3.0%,0.0%,93.3%,3.8%,0.0%,0.0%,34.8%,65.1%,0.0%,0.0%,0.2%,https://ranking.zeit.de/che/en/hochschule/273,Psychology,"[{'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500568'}]"
328,Hochschule Aalen - Technik und Wirtschaft,"University of applied sciences, public",1962,"5,975","5,895","149,00€",There are no study fees.,7.9%,3.5%,32.0%,0.0%,56.6%,0.0%,77.3%,21.7%,0.0%,0.0%,1.0%,https://ranking.zeit.de/che/en/hochschule/328,"Business Administration, Business Informatics, Business Psychology, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100194'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603037'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605022'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600777?subfach=111'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420231'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9009'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13013'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10033?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10033?subfach=108'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10033?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500319'}]"
330,Hochschule Albstadt-Sigmaringen,"University of applied sciences, public",1971,"3,392","1,456","148,10€",There are no study fees.,0.0%,7.8%,46.6%,0.0%,27.3%,18.3%,85.2%,14.6%,0.0%,0.0%,0.3%,https://ranking.zeit.de/che/en/hochschule/330,"Biotechnology, Business Administration, Chemical Engineering, Industrial Engineering, Interdisciplinary programmes","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11411?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100184'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11411?subfach=111'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410310'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11411?subfach=117'}]"
332,HBC. Hochschule Biberach,"University of applied sciences, public",1964,"2,482","2,482","159,00€","min. 13.250,00€",0.0%,23.4%,25.2%,0.0%,51.5%,0.0%,78.6%,21.4%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/332,"Architecture, Biotechnology, Business Administration, Civil Engineering, Energy Systems","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7040'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500485?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100001'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8031?subfach=104'}, {'name': 'Energy Systems', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500038?subfach=115'}]"
333,Fachhochschule des Mittelstands (FHM),"University of applied sciences, private",2000,"4,526","2,543",no data,"max. 640,00€",1.0%,0.0%,96.9%,0.0%,0.0%,2.2%,93.6%,6.4%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/333,"Business Administration, Business Psychology, Commercial / Business Law, Industrial Engineering, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100242'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605069'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605318'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603038'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500632'}]"
336,Hochschule Esslingen,"University of applied sciences, public",1868,"6,126","4,958",no data,There are no study fees.,4.8%,3.0%,30.4%,0.0%,61.8%,0.0%,88.0%,11.5%,0.0%,0.0%,0.5%,https://ranking.zeit.de/che/en/hochschule/336,"Biotechnology, Business Administration (Fakultät Betriebswirtschaft), Business Administration (Fakultät Graduate School), Business Informatics, Chemical Engineering, Computer Science, Mechanical Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Process Engineering, Social Policy and Social Work","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11129?subfach=112'}, {'name': 'Business Administration', 'extra': 'Fakultät Betriebswirtschaft', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100208'}, {'name': 'Business Administration', 'extra': 'Fakultät Graduate School', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605333'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/41034'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11129?subfach=111'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420475'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10051?subfach=109'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10055?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604389'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430556'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11130'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100389'}]"
338,Hochschule Furtwangen,"University of applied sciences, public",1850,"6,344","3,540","130,00€",There are no study fees.,13.2%,0.0%,0.0%,0.0%,77.1%,9.7%,89.6%,10.4%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/338,"Business Administration, Business Informatics, Computer Science, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605265'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100326'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400226'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410187'}]"
340,Hochschule Heilbronn,"University of applied sciences, public",1961,"8,370","5,784","149,00€",There are no study fees.,0.0%,0.0%,48.8%,0.0%,51.2%,0.0%,90.6%,9.3%,0.0%,0.1%,0.0%,https://ranking.zeit.de/che/en/hochschule/340,"Business Administration (Studiengänge Tourismus), Business Administration (Studiengänge Logistik & Mobilität (LM)), Business Administration (Studiengänge Internationale Betriebswirtschaft (IB)), Business Administration (Studiengänge Hotel- und Restaurantmangement, Weinmanagement), Business Administration (Studiengang Betriebswirtschaft und Unternehmensführung (BU)), Business Administration (Heilbronn University Graduate School (HUGS)), Business Informatics, Computer Science, Electrical / Information Engineering, Mechanical Engineering, Mechatronics, Process Engineering","[{'name': 'Business Administration', 'extra': 'Studiengänge Tourismus', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605458'}, {'name': 'Business Administration', 'extra': 'Studiengänge Logistik & Mobilität (LM)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100002'}, {'name': 'Business Administration', 'extra': 'Studiengänge Internationale Betriebswirtschaft (IB)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100180'}, {'name': 'Business Administration', 'extra': 'Studiengänge Hotel- und Restaurantmangement, Weinmanagement', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605459'}, {'name': 'Business Administration', 'extra': 'Studiengang Betriebswirtschaft und Unternehmensführung (BU)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605457'}, {'name': 'Business Administration', 'extra': 'Heilbronn University Graduate School (HUGS)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605454'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430573'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400228'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9058'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9159?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500284'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/91302'}]"
342,Hochschule Karlsruhe - Technik und Wirtschaft,"University of applied sciences, public",1878,"8,002","8,002","157,70€",There are no study fees.,0.0%,0.0%,27.1%,0.0%,72.0%,0.9%,82.4%,16.2%,0.0%,0.0%,1.4%,https://ranking.zeit.de/che/en/hochschule/342,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7026'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410060'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100331'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8039?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400229'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9066'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13048'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500672?subfach=117'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10094?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500321'}]"
344,"Hochschule Konstanz - Technik, Wirtschaft und Gestaltung","University of applied sciences, public",1906,"4,958","4,958",no data,There are no study fees.,0.0%,0.0%,31.2%,7.2%,57.4%,4.1%,82.1%,17.9%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/344,"Architecture, Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering (Fakultät Maschinenbau), Industrial Engineering (Fakultät Bauingenieurwesen), Industrial Engineering (Fakultät Elektrotechnik und Informationstechnik), Mechanical Engineering, Mechatronics, Process Engineering","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7037'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100003'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100333'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8044?subfach=104'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500575'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430134'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9071'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8044?subfach=118'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Maschinenbau', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410298'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Bauingenieurwesen', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410297'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Elektrotechnik und Informationstechnik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410330'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10029?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500285'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500700'}]"
348,Hochschule Mannheim,"University of applied sciences, public",1898,"5,065","5,065",no data,There are no study fees.,0.0%,10.7%,11.7%,0.0%,71.7%,5.8%,83.1%,16.5%,0.4%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/348,"Biotechnology, Business Informatics, Computer Science, Electrical / Information Engineering (Fakultät für Informationstechnik (N)), Electrical / Information Engineering (Fakultät für Elektrotechnik (E)), Industrial Engineering, Mechanical Engineering, Mechatronics, Process Engineering, Social Policy and Social Work","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500488?subfach=112'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602012'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400233'}, {'name': 'Electrical / Information Engineering', 'extra': 'Fakultät für Informationstechnik (N)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9082'}, {'name': 'Electrical / Information Engineering', 'extra': 'Fakultät für Elektrotechnik (E)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9081'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13042'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11021?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500570'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500656'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410037'}]"
350,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen (HfWU),"University of applied sciences, public",1972,"5,434","3,251","188,10€",There are no study fees.,0.0%,0.0%,64.3%,0.0%,20.5%,15.1%,82.6%,15.8%,0.0%,0.0%,1.6%,https://ranking.zeit.de/che/en/hochschule/350,"Business Administration, Economics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100214'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603124'}]"
351,Hochschule Nordhausen,"University of applied sciences, public",1997,"2,342","2,342","158,58€",There are no study fees.,0.0%,0.0%,77.4%,0.0%,22.6%,0.0%,85.0%,14.3%,0.0%,0.7%,0.0%,https://ranking.zeit.de/che/en/hochschule/351,"Business Administration, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100245'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420466'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500050'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600901?subfach=118'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603043'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604296?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604297'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100472'}]"
352,"Hochschule für Technik, Wirtschaft und Medien Offenburg","University of applied sciences, public",1971,"4,392","4,392","134,00€",There are no study fees.,0.0%,5.7%,29.3%,0.0%,65.0%,0.0%,82.5%,17.5%,0.0%,0.0%,0.1%,https://ranking.zeit.de/che/en/hochschule/352,"Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Process Engineering","[{'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/490991'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9097'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604409?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10109?subfach=108'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10109?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500286'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500701'}]"
354,Hochschule Pforzheim,"University of applied sciences, public",1877,"6,112","6,112","180,00€",There are no study fees.,0.0%,0.0%,68.8%,0.0%,21.2%,9.9%,85.2%,12.8%,0.0%,0.0%,1.9%,https://ranking.zeit.de/che/en/hochschule/354,"Business Administration, Business Informatics, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/101316'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430571'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400234'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420459'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9103'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410290'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10113?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500648'}]"
355,Hochschule Rhein-Waal,"University of applied sciences, public",2009,"6,866","4,858","302,88€",There are no study fees.,1.5%,14.7%,49.3%,0.0%,26.4%,8.2%,78.5%,21.5%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/355,"Biotechnology, Business Administration, Economics, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500636?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602003'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603239'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500680'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602007'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500636?subfach=117'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500678?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500678?subfach=108'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500678?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500679'}]"
