name,department_name,teaching_staff_at_the_department,total_number_of_students,number_of_master_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,share_of_anglophone_research_groups,teacher_support,support_in_studies,courses_offered,teaching_of_technical/professional_competence,teaching_of_methodological_competence,teaching_of_interdisciplinary_competence,study_organisation,exams,laboratory_internships,excursions,research_orientation,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,schoolpractice,teacher_qualification_students,teacher_qualification_programmes,teacher_qualification_centre,teacher_qualification_monitor_in_german,further_degree_courses_of_the_department,degree_courses,url,percentage_of_teaching_by_practitioners,graduations_in_appropriate_time_masters,outgoing_students,bachelor_theses_in_cooperation_with_work_environment,master_theses_in_cooperation_with_work_environment,share_of_professors_with_work_experience,publications_per_professor,third_party_funds_per_academic,doctorates_per_professor,research_reputation,return_rate_of_the__questionnaires,students_in_cooperative_education,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,publications_per_academic,transition_to_masters_studies,provision_of_instruments_pre_clinical,provision_of_instruments_for_clinical_studies,citations_per_publication,third_party_funds_per_professor,habilitation_treatises_in_ten_years,dentists_chairs,phantom_heads,laboratories,share_of_external_repetitions_visited,exam_preparation,exams_preparation___specific_offers,exams_preparation___training,exams_preparation___addiotional_services,exam_results,assistance_with_exam_preparation,self_study_places,habilitation_treatises_per_ten_professors,support_in_bedside_teaching,dovetailing_of_pre_clinic_and_clinic_studies,clerkship,skills_labs,cooperative_doctoral_degrees_in_three_years,support_during_practical_semester,sports_facilities,publications_per_professor_in_business_administration,publications_per_professor_in_economics,professional_qualification_for_architects,scientific_artistical_orientation,workstations,professors_with_own_engineering_company,extent_of_interlinking,coordination_of_theory_and_practice_phases,subject_specific_equipment,study_quality_funds_for_excursions
Otto-von-Guericke-Universität Magdeburg,Fakultät für Informatik at the Uni Magdeburg,,260,,8/12points,53.8%,,no survey,no survey,,,,,no survey,no survey,,,2.1,2.2,no survey,no survey,no survey,no survey,no survey,,,,,,,"[{'name': 'Business Informatics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/5661'}, {'name': 'Business Informatics (B.Sc., cooperate education)', 'url': 'https://ranking.zeit.de/che/en/studiengang/38391'}, {'name': 'Business Informatics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18464'}]",https://ranking.zeit.de/che/en/fachbereich/100318,3.0%,less than 10 graduates / year,1.0%,80.8%,80.7%,0.0%,,,0.7,,,no data,8/13points,7/13points,7/12points,4/12points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/10points,no survey,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Verfahrens- und Systemtechnik at the Uni Magdeburg,,360,310,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,1.7,2.0,2.0,,,,1.8,,,,2.0,,2.1,,,,,,,,,,none,"[{'name': 'Safety and Risk Prevention (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36026'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36024'}, {'name': 'Process Engineering (B.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36028'}, {'name': 'Environmental Engineering and Energy Process Engineering (B.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36027'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (B.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36025'}, {'name': 'Safety and Risk Prevention (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36033'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36029'}, {'name': 'Process Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36035'}, {'name': 'Environmental Engineering and Energy Process Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36034'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (M.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36031'}, {'name': 'Chemical and Energy Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36030'}, {'name': 'Sustainable Energy Systems (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36032'}, {'name': 'Process Safety and Environmental Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41039'}]",https://ranking.zeit.de/che/en/fachbereich/11099?subfach=111,10.0%,36.5%,0.0%,16.2%,15.2%,35.0%,,116.2T€,2.4,,,,,,4/11points,4/11points,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Informatik at the Uni Magdeburg,,"1,450",541,10/14points,66.2%,,1.8,1.8,1.9,,,,2.0,1.9,,,1.8,2.1,2.3,1.6,1.7,1.9,1.8,,,no,Link,Link,none,"[{'name': 'Computer Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21199'}, {'name': 'Computational Visualistics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21201'}, {'name': 'Computational Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34591'}, {'name': 'Digital Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27326'}, {'name': 'Data and Knowledge Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21205'}, {'name': 'Computer Science (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21200'}, {'name': 'Computational Visualistics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21202'}, {'name': 'Computational Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21204'}, {'name': 'Computer Science dual (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40002'}, {'name': 'Computer Science for Engineering Applications, Dual Degree Course (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40003'}, {'name': 'Computational Visualistics dual (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40004'}]",https://ranking.zeit.de/che/en/fachbereich/400194,5.0%,not calculated due to <10 graduates/year in the surveyed period,0.0%,42.4%,35.0%,no data,,100.1T€,0.8,,,26,5/9points,8/9points,5/11points,6/11points,3.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Wirtschaftswissenschaft at the Uni Magdeburg,,270,,10/14points,85.8%,,,,2.1,,,,1.9,2.5,,,,2.7,2.2,,2.0,,2.2,,,,,,,"[{'name': 'International Business and Economics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13176'}, {'name': 'Business Psychology (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/42527'}]",https://ranking.zeit.de/che/en/fachbereich/605310,30.0%,not ranked; extra-occupational masters' degree programme / no graduates yet,1.0%,9.9%,20.4%,0.0%,,8.4T€,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Points per professor within the range 1,2 to 2,3","Points per professor within the range 0,6 to 1,0",,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Wirtschaftswissenschaft at the Uni Magdeburg,,220,,10/14points,not calculated; <10 graduates/year,,,,,,,,,,,,,,,,,,,,,,,,,"[{'name': 'Economics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18939'}, {'name': 'International Economics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18941'}, {'name': 'International Economics and Policy Consulting (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25745'}]",https://ranking.zeit.de/che/en/fachbereich/300121,no data,28.9%,no data,no data,no data,no data,"Points per professor within the range 0,6 to 1,0",12.0T€,0.3,< 1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Humanwissenschaften at the Uni Magdeburg,16,820,370,,76.6%,,,,2.8,,,,,,,,,,,,,,,,,,,,none,"[{'name': 'Education Science (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/17480'}, {'name': 'Media Education (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24158'}, {'name': 'Education Science (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/17481'}, {'name': 'Media Education (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/17485'}, {'name': 'Vocational Training and Vocational Training Management (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41462'}, {'name': 'International Vocational Education (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41461'}, {'name': 'Education Science (Two-Subject-B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41463'}]",https://ranking.zeit.de/che/en/fachbereich/133536,15.0%,24.9%,,3.6%,14.0%,no data,3.4,21.9T€,0.7,,,,,,5/11points,4/11points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Elektrotechnik und Informationstechnik at the Uni Magdeburg,,400,130,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,1.8,2.6,2.0,,,,2.0,2.8,,,2.0,,2.4,2.3,,1.9,,,,,,,Mechatronics (B.Sc./M.Sc.),"[{'name': 'Electrical Engineering and Information Technology (B.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35526'}, {'name': 'Medical Technology (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36969'}, {'name': 'Systems Engineering and Engineering Cybernetics (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35532'}, {'name': 'Information Technology - Smarte Systems (B.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36968'}, {'name': 'Electrical Engineering and Information Technology (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35529'}, {'name': 'Systems Engineering and Engineering Cybernetics (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35534'}, {'name': 'Medical Systems Engineering (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35533'}, {'name': 'Electrical Energy Systems - Renewable Energy (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35528'}, {'name': 'Electrical Engineering and Information Technology (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35527'}, {'name': 'Electric Mobility (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40949'}]",https://ranking.zeit.de/che/en/fachbereich/9143?subfach=101,1.0%,51.6%,0.0%,no data,no data,no data,,113.2T€,0.8,,,,3/9points,6/9points,3/11points,no data,2.2,1.9,,,1.4,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Verfahrens- und Systemtechnik at the Uni Magdeburg,,360,310,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,1.7,2.0,2.0,,,,1.8,,,,2.0,,2.1,,,,,,,,,,none,"[{'name': 'Safety and Risk Prevention (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36026'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36024'}, {'name': 'Process Engineering (B.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36028'}, {'name': 'Environmental Engineering and Energy Process Engineering (B.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36027'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (B.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36025'}, {'name': 'Safety and Risk Prevention (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36033'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36029'}, {'name': 'Process Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36035'}, {'name': 'Environmental Engineering and Energy Process Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36034'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (M.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36031'}, {'name': 'Chemical and Energy Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36030'}, {'name': 'Sustainable Energy Systems (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36032'}, {'name': 'Process Safety and Environmental Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41039'}]",https://ranking.zeit.de/che/en/fachbereich/11099?subfach=107,10.0%,36.5%,0.0%,16.2%,15.2%,35.0%,,116.2T€,2.4,,,,,,4/11points,4/11points,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Humanwissenschaften at the Uni Magdeburg,15,180,30,11/14points,no graduates in the years surveyed; source: department survey,,1.8,2.5,2.1,,,,2.0,2.2,,,,,,,,,,,190,teacher qualification (BA/M.Ed.),Link,Link,none,"[{'name': 'German Language and Literature with inter-disciplinary profile (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36124'}, {'name': 'German Studies: Culture, Transfer and Intermediality (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24079'}]",https://ranking.zeit.de/che/en/fachbereich/30223,,21.9%,0.0%,,,,,,,,,,not ranked,4/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Verfahrens- und Systemtechnik at the Uni Magdeburg,,40,,9/12points,less than 10 graduates per year during the time surveyed,,,,,,,,,,,,,,,,,,,,,,,,,"[{'name': 'Industrial Engineering for Process and Energy Systems Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25185'}, {'name': 'Industrial Engineering for Process and Energy Systems Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25186'}]",https://ranking.zeit.de/che/en/fachbereich/9500624,no data,68.8%,no data,no data,no data,no data,,,,,,,2/13points,3/13points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Maschinenbau at the Uni Magdeburg,,670,,9/12points,66.7%,,2.5,2.2,2.5,,,,1.9,2.6,,,2.8,2.8,,2.2,1.6,2.0,1.9,,,,,,,"[{'name': 'Business Engineering Logistics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18777'}, {'name': 'Industrial Engineering - Mechanical Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18778'}, {'name': 'Business Engineering Logistics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18776'}, {'name': 'Industrial Engineering - Mechanical Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18775'}]",https://ranking.zeit.de/che/en/fachbereich/133433,5.0%,69.2%,1.0%,no data,no data,50.0%,,,,,,,5/13points,7/13points,5/12points,2/12points,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Elektrotechnik und Informationstechnik: FEIT at the Uni Magdeburg,,40,,5/12points,less than 10 graduates per year during the time surveyed,,,,,,,,,,,,,,,,,,,,,,,,,"[{'name': 'Industrial Engineering, Electrical and Electronic Engineering and Information Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18747'}, {'name': 'Industrial Engineering, Electrical and Electronic Engineering and Information Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/32648'}]",https://ranking.zeit.de/che/en/fachbereich/133365,no data,less than 10 graduates / year,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Elektrotechnik und Informationstechnik at the Uni Magdeburg,,400,130,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,1.8,2.6,2.0,,,,2.0,2.8,,,2.0,,2.4,2.3,,1.9,,,,,,,Mechatronics (B.Sc./M.Sc.),"[{'name': 'Electrical Engineering and Information Technology (B.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35526'}, {'name': 'Medical Technology (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36969'}, {'name': 'Systems Engineering and Engineering Cybernetics (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35532'}, {'name': 'Information Technology - Smarte Systems (B.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36968'}, {'name': 'Electrical Engineering and Information Technology (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35529'}, {'name': 'Systems Engineering and Engineering Cybernetics (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35534'}, {'name': 'Medical Systems Engineering (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35533'}, {'name': 'Electrical Energy Systems - Renewable Energy (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35528'}, {'name': 'Electrical Engineering and Information Technology (M.Sc.)\n(E&I)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35527'}, {'name': 'Electric Mobility (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40949'}]",https://ranking.zeit.de/che/en/fachbereich/9143?subfach=117,1.0%,51.6%,0.0%,no data,no data,no data,,113.2T€,0.8,,,,3/9points,6/9points,3/11points,no data,2.2,1.9,,,1.4,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Verfahrens- und Systemtechnik at the Uni Magdeburg,,360,310,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,1.7,2.0,2.0,,,,1.8,,,,2.0,,2.1,,,,,,,,,,none,"[{'name': 'Safety and Risk Prevention (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36026'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36024'}, {'name': 'Process Engineering (B.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36028'}, {'name': 'Environmental Engineering and Energy Process Engineering (B.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36027'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (B.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36025'}, {'name': 'Safety and Risk Prevention (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36033'}, {'name': 'Biosystems Engineering (Mas)\n(BT)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36029'}, {'name': 'Process Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36035'}, {'name': 'Environmental Engineering and Energy Process Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36034'}, {'name': 'Industrial Chemistry: Molecular and Structural Product Design (M.Sc.)\n(CE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36031'}, {'name': 'Chemical and Energy Engineering (M.Sc.)\n(PE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36030'}, {'name': 'Sustainable Energy Systems (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36032'}, {'name': 'Process Safety and Environmental Engineering (M.Sc.)\n(EnvE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41039'}]",https://ranking.zeit.de/che/en/fachbereich/11099?subfach=117,10.0%,36.5%,0.0%,16.2%,15.2%,35.0%,,116.2T€,2.4,,,,,,4/11points,4/11points,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Mathematik at the Uni Magdeburg,,300,102,9/14points,60.7%,,1.5,1.4,2.2,,,,1.2,1.1,,,1.8,2.1,,1.9,1.4,,1.5,,100,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20633'}, {'name': 'Applied Statistics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40007'}, {'name': 'Mathematical Engineer (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40006'}, {'name': 'Computational Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34611'}, {'name': 'Mathematical Economics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34612'}, {'name': 'Technical Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34613'}, {'name': 'Mathematics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20816'}, {'name': 'Statistics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40005'}, {'name': 'Computational Mathemathics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34614'}, {'name': 'Mathematical Economics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34615'}, {'name': 'Technical Mathematics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34616'}]",https://ranking.zeit.de/che/en/fachbereich/400196,,29.4%,,,,,,21.8T€,0.8,,,,1/9points,2/9points,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Maschinenbau at the Uni Magdeburg,,650,360,9/14points,59.6%,,1.7,2.0,2.0,,,,1.5,2.6,,,2.0,2.5,2.5,2.2,,2.1,1.7,,,,,,none,"[{'name': 'Mechanical Engineering (B.Sc.)\n(ME)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35903'}, {'name': 'Mechanical Engineering (M.Sc.)\n(ME)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35905'}, {'name': 'Integrated Design Engineering (M.Sc.)\n(ME)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35904'}, {'name': 'Systems Engineering for Manufacturing (M.Sc.)\n(ME)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41032'}]",https://ranking.zeit.de/che/en/fachbereich/10140?subfach=109,7.3%,43.6%,1.0%,94.4%,97.7%,20.0%,,118.8T€,2.6,,,,,,7/11points,5/11points,,1.6,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Elektrotechnik und Informationstechnik at the Uni Magdeburg,,90,20,10/14points,<10 graduades/year in at least one of the years surveyed; source: department survey,,,,,,,,,,,,,,,,,,,,,,,,none,"[{'name': 'Mechatronics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35530'}, {'name': 'Mechatronics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35531'}]",https://ranking.zeit.de/che/en/fachbereich/140003,1.0%,<10 graduades/year in at least one of the years surveyed; source: department survey,0.0%,no data,no data,no data,,113.2T€,0.8,,,,2/9points,1/9points,2/11points,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Medizinische Fakultät at the Uni Magdeburg,,"1,610",no Master's degree courses offered,10/14points,85.9%,,2.3,1.9,2.8,,,,1.7,2.2,,,2.6,2.1,2.2,2.3,1.8,2.1,2.1,,,,,,none,"[{'name': 'Medicine (State Examination)', 'url': 'https://ranking.zeit.de/che/en/studiengang/6105'}]",https://ranking.zeit.de/che/en/fachbereich/420043,,,,,,,8.1,,1.5,1.2%,,,,,,,,,,,7.1,292.5,,,,,,,,,,,,,1.7,2.4,2.3,2.5,1.8,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Naturwissenschaften at the Uni Magdeburg,,70,17,9/14points,80.0%,100.0%,rank group not assignable,rank group not assignable,rank group not assignable,,,,1.8,1.8,rank group not assignable,,2.0,,less than 15 answers,1.9,1.4,1.9,2.0,,0,no,Link,Link,none,"[{'name': 'Physics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20652'}, {'name': 'Physics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20651'}]",https://ranking.zeit.de/che/en/fachbereich/400197,,not calculated due to <10 graduates/year in the surveyed period,1.0%,,,,,,,,,,1/10points,1/10points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-von-Guericke-Universität Magdeburg,Fakultät für Humanwissenschaften at the Uni Magdeburg,18,920,230,11/14points,70.5%,,2.1,2.8,2.6,,,,3.3,2.6,,,3.0,3.7,2.1,1.9,2.1,2.2,2.8,,130,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Social Science (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18247'}, {'name': 'European Studies (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34317'}, {'name': 'Social Science (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18248'}, {'name': 'Peace and Conflict Studies (Mas)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13920'}, {'name': 'European Studies (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34318'}]",https://ranking.zeit.de/che/en/fachbereich/100140,,29.3%,,,,,,,,0.2%,,,2/9points,3/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
