name,department_name,program_name,type_of_degree_course,standard_period_of_study,total_credits,teaching_profile,interdisciplinarity,credits_for_laboratory_practicals,excursions,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance,url,proportion_of_international_students,share_of_foreign_language_courses,applicants/places_ratio,subject_orientation,practical_elements_in_the_degree_course,mandatory_study_period_abroad,combined_study_programme_with_foreign_hei,international_orientation:_studies_abroad,international_orientation:_students_mobility,international_orientation:_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environment:_internships,contact_with_work_environment:_case_studies,contact_with_work_environment:_external_staff_members,contact_with_work_environment:_theses_in_cooperation_with_work_environment,contact_with_work_environment,mode_of_admission,contact_with_work_environment:_excursions,study_duration_median,share_of_ects_in_international_law,key_skills,admission_requirements,international_orientation:_credits_for_courses_in_intercultural_competence,preliminary_internship,coursework_composition,credits_aquired_at_the_practice_partner,extent_of_interlinking_of_this_programme,extent_of_interlinking:_study_contents,extent_of_interlinking:_support,extent_of_interlinking:_institutionel_level,cooperative_education:_contact_persons,cooperative_education:_outcome_control,cooperative_education:_content_linking,cooperative_education:_courses,cooperative_education:_student_exchange_in_theory/practical_phase,cooperative_education:_selection_process,cooperative_education:_salary,number_of_credits_for_international_law,dual_course_of_study:_success_rate,dual_course_of_study:_contract_modalities,scope_of_compulsory_laboratory_courses
Hochschule für angewandte Wissenschaften Augsburg,Fachbereich Informatik at the HAW Augsburg,Computer Science (B),,7semesters,210,,no data,,,270,65,40,no data available,89:11[%m:%f],https://ranking.zeit.de/che/en/studiengang/21421,11.0%,5.0%,,"Applied Computer Science, Software-Engineering, IT-Security, Computer Visualistics",20 weeks mandatory practical period/internship outside the university,no,"yes, double degree optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fachbereich Informatik at the HAW Augsburg,Computer Engineering (B),,7semesters,210,,no data,,,160,55,22,no data available,92:8[%m:%f],https://ranking.zeit.de/che/en/studiengang/27026,15.0%,5.0%,,"Applied Computer Science, Engineering Information Technology / Computer Engineering, Software-Engineering, Computer Engineering, IT-Security, Computer Visualistics",20 weeks mandatory practical period/internship outside the university,no,"yes, double degree optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fachbereich Informatik at the HAW Augsburg,Computer Science (M),,3semesters,90,,no data,,,50,50,10,no data available,87:13[%m:%f],https://ranking.zeit.de/che/en/studiengang/15257,7.0%,10.0%,,"Applied Computer Science, Software-Engineering, IT-Security, Computer Visualistics",20 weeks mandatory practical period/internship outside the university,no,"yes, double degree optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Elektrotechnik at the HAW Augsburg,Electrical Engineering (B.Eng.),"presence learning programme, full-time",7semesters,210,"178 credits in mandatory modules, 32 credits in compulsory elective modules",,,,234,66,51,84.3%,95:5[%m:%f],https://ranking.zeit.de/che/en/studiengang/35262,15.0%,0.0%,,,20 weeks practice/internship outside the university obligatory,"no, but credits for study abroad eligible",no data,1/4points,2/2points,0/3points,3/9points,3/4points,0/3points,2/2points,2/2points,7/11points,"limited number of places, 85 places",,7.0semesters,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Elektrotechnik at the HAW Augsburg,Applied Research (M.Sc.),"presence learning programme, full-time",3semesters,90,no data,,,,52,19,22,55.8%,79:21[%m:%f],https://ranking.zeit.de/che/en/studiengang/37884,2.0%,30.0%,,,,not scheduled,no data,1/4points,0/2points,2/3points,3/9points,0/4points,0/3points,2/2points,0/2points,2/11points,"limited number of places, 20 places",,5.0semesters,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Elektrotechnik at the HAW Augsburg,Industrial Safety (M.Sc.),"presence learning programme, full-time",3semesters,90,no data,,,,30,13,no graduates until WS 2017/18,no graduates until WS 2017/18,77:23[%m:%f],https://ranking.zeit.de/che/en/studiengang/40892,3.0%,30.0%,,,,"no, but credits for study abroad eligible",no data,1/4points,0/2points,2/3points,3/9points,0/4points,0/3points,2/2points,0/2points,2/11points,number of places not limited,,no graduates until WS 2017/18,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Elektrotechnik at the HAW Augsburg,"Electrical and Electronic Engineering, combined course of study (B.Eng.)","cooperative education programme, full-time, vocational training integrated",7semesters,210,"178 credits in mandatory modules, 32 credits in compulsory elective modules",,,,51,16,14,,73:27[%m:%f],https://ranking.zeit.de/che/en/studiengang/36774,2.0%,0.0%,,,,no data,no data,,,,,,,,,,"limited number of places, 20 places",,,,,,,,,no data,6/10points,1/4points,3/3points,2/3points,Academic contact person at the university. Institutional contact person at the practice partner Professional contact person at the practice partner.,Joint outcome control with the practice partner in the form of joint project reports and reflection,The timing of the theoretical and practical phases is mandatory and recorded in the training plan. No contents to be carried out at the practice partner should be recorded in the training plan.,Courses between dual and non-dual students are not separated,no data,no data,Average monthly salary at the beginning is in the range of the maximum BafÖG amount. A minimum salary is set by the practice partner Salary does not include tuition fees.,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Wirtschaft at the HAW Augsburg,International Industrial Engineering (B.Eng.),"Presence learning programme, full-time programme, dual integrated apprenticeship or dual with integration of practice phases, equally engineering and management oriented",7semesters,210,,,,,296,85,no data,no data,66:34[%m:%f],https://ranking.zeit.de/che/en/studiengang/38123,7.0%,40.0%,,,20 weeks practice/internship outside university mandatory; 20 ECTS max. countable for optional internships; 30 ECTS max. countable for practice-oriented courses,mandatory,no,3/5points,1/3points,2/3points,8/13points,4/4points,3/3points,2/3points,2/2points,11/12points,"limited number of places, 80 places",,,,,,2/2Points,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Maschinenbau und Verfahrenstechnik at the HAW Augsburg,Mechanical Engineering (B.Eng.),"presence learning programme, full-time",7semesters,210,"174 credits in mandatory modules, 36 credits in compulsory elective modules",,,,656,233,103,82.4%,89:11[%m:%f],https://ranking.zeit.de/che/en/studiengang/35707,9.0%,43.0%,,Mechanical Engineering,18 weeks practice/internship outside the university obligatory,"no, but credits for study abroad eligible",no,1/4points,1/2points,2/3points,4/9points,2/4points,0/3points,2/2points,2/2points,6/11points,"limited number of places, 98 places",,8.0semesters,,,,,,,,,,,,,,,,,,,,,,
Hochschule für angewandte Wissenschaften Augsburg,Fakultät für Maschinenbau und Verfahrenstechnik at the HAW Augsburg,Lightweight Construction and Composite Technology (M.Eng.),"presence learning programme, full-time",3semesters,90,no data,,,,19,8,<10,"not calculated, <10 graduates/year",79:21[%m:%f],https://ranking.zeit.de/che/en/studiengang/37758,5.0%,33.0%,,Mechanical Engineering,,"no, but credits for study abroad eligible",no,1/4points,1/2points,2/3points,4/9points,0/4points,0/3points,2/2points,2/2points,4/11points,number of places not limited,,"not calculated, <10 graduates/year",,,,,,,,,,,,,,,,,,,,,,
