name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,Mathematics (M.Sc.),4 semesters,120,125,40,36,0.239,75,25,0.11,d,a,d,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Pharmacy (State Examination),,,474,94,82,,29,71,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Pharmaceutical Science (B.Sc.),,,104,30,,,40,60,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Pharmaceutical Science  (M.Sc.),4 semesters,120,76,19,,,42,58,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,Physics (B.Sc.),6 semesters,180,231,107,54,0.752,82,18,0.04,d,c,d,e,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,"Physics (B, two-subject, optional TQ)",6 semesters,180,68,33,,,71,29,0.04,d,c,d,e,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,Physics (M.Sc.),4 semesters,120,120,32,32,0.635,88,12,0.17,d,a,a,b,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,Applied Physics (M.Sc.),4 semesters,120,40,24,,,80,20,0.32,d,a,a,b,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,Political Science (B.A.),,180,338,100,78,0.764,55,45,0.05,d,b,c,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,Political Science (B.A. with optional TQ),,180,100,45,,,57,43,0.02,d,c,c,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,Applied Political Science (B.A.),,180,76,27,24,0.959,41,59,0.29,a,a,a,a,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,Political Science (M.A.),,120,75,31,18,0.057,59,41,0.12,d,a,b,c,,,,,master
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,Applied Political Science (M.A.),,120,48,17,22,0.682,33,67,0.44,a,a,a,a,,,,,master
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,Psychology (B.Sc.),6 semesters,180,490,135,107,0.793,20,80,0.07,d,b,d,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,"Clinical Psychology, Neurosciences and Rehabilitation Sciences (M.Sc.)",4 semesters,120,165,74,57,0.868,16,84,0.01,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,"Clinical Psychology, Learning and Working (M.Sc.)",4 semesters,120,77,25,20,0.795,25,75,0.01,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,Sport Science - Motion and Health (B.Sc.),6 semesters,180,119,53,,,55,45,0.03,,,,,a,a,b,b,bachelor
