name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering (D),10 semesters,300,"2,687",332,405,0.442,88,12,0.07,,b,d,d,c,d,c,e,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering (D-Advanced course),5 semesters,150,592,192,38,0.447,82,18,0.75,,a,d,d,,,,,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,"Process Engineering and Natural Material Engineering (D, further education)",5 semesters,150,55,14,10,,80,20,0.24,,a,d,d,,,,,phd
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Mathematics (B.Sc.),6 semesters,180,217,85,24,0.851,71,29,0.03,d,c,c,d,,,,,bachelor
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Business Mathematics (B.Sc.),6 semesters,180,,,,,,,,d,c,c,d,,,,,bachelor
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Mathematics (M.Sc.),4 semesters,120,57,21,10,0.65,79,21,0.04,b,c,a,b,,,,,bachelor
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Business Mathematics (M.Sc.),4 semesters,120,12,,10,,58,42,0.25,b,a,a,a,,,,,bachelor
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Technical / Industrial Mathematics (M.Sc.),4 semesters,120,5,,10,,,,0,b,c,a,b,,,,,bachelor
Technische Universität Dresden,Fakultät Mathematik at the TU Dresden,Computational Modeling and Simulation (M.Sc.),4 semesters,120,,,,,,,,d,c,a,c,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering - binational (D),10 semesters,300,10,0,16,1,4,10,1,,a,d,b,e,b,c,e,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,"Mechanical Engineering (D, correspondence course)",20 semesters,300,109,25,10,,86,14,0.05,,,,,c,b,c,d,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Process Engineering and Natural Material Engineering (D),10 semesters,300,376,52,10,,60,40,0.02,,c,d,e,c,d,c,e,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Materials Science (D),10 semesters,300,237,33,35,0.514,71,29,0.08,,b,c,d,c,d,c,e,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering (B.Sc.),6 semesters,180,331,126,10,,84,16,0.29,,a,d,d,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,"Mechanical Engineering (B.Sc., correspondence course)",12 semesters,180,86,25,,,88,12,0.09,,,,,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Process Engineering and Natural Material Engineering (B.Sc.),6 semesters,180,42,18,,,74,26,0.17,,a,d,d,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Materials Science (B.Sc.),6 semesters,180,34,10,,,74,26,0.21,,a,c,c,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Textile and Clothing Technology (M.Sc.),4 semesters,120,44,14,13,0.538,45,55,0.64,,a,c,c,,,,,bachelor
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,"Mechanical Engineering (D-Advanced course, distance learning)",8 semesters,150,167,45,10,,85,15,0.05,,b,d,d,,,,,master
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering (D),10 semesters,300,"2,687",332,405,0.442,88,12,0.07,,b,d,d,c,d,c,e,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,Mechanical Engineering (D-Advanced course),5 semesters,150,592,192,38,0.447,82,18,0.75,,a,d,d,,,,,phd
Technische Universität Dresden,Fakultät Maschinenwesen at the TU Dresden,"Process Engineering and Natural Material Engineering (D, further education)",5 semesters,150,55,14,10,,80,20,0.24,,a,d,d,,,,,phd
Technische Universität Dresden,Fakultät Elektrotechnik und Informationstechnik at the TU Dresden,Mechatronics (D),10 semesters,,367,77,56,0.486,90,10,0.21,b,a,,c,a,d,c,d,phd
Technische Universität Dresden,Fakultät Physik at the TU Dresden,Physics (B.Sc.),6 semesters,180,362,136,62,0.894,78,22,0.02,d,c,b,d,,,,,bachelor
Technische Universität Dresden,Fakultät Physik at the TU Dresden,Physics (M.Sc.),4 semesters,120,189,56,52,0.731,84,16,0.03,d,c,a,c,,,,,bachelor
Technische Universität Dresden,Philosophische Fakultät at the TU Dresden,Political Science (B.A.),,180,268,68,40,0.638,54,46,0.02,d,c,d,e,,,,,bachelor
Technische Universität Dresden,Philosophische Fakultät at the TU Dresden,Politics and Constitition (M.A.),,120,53,17,22,0.182,53,47,0.08,d,b,d,d,,,,,master
Technische Universität Dresden,Fakultät Psychologie at the TU Dresden,Psychology (B.Sc.),6 semesters,180,476,153,106,0.844,15,85,0.06,d,b,d,d,,,,,bachelor
Technische Universität Dresden,Fakultät Psychologie at the TU Dresden,Clinical Psychology and Psychological Therapie (M.Sc.),4 semesters,120,186,65,55,0.651,13,87,0.06,d,b,c,d,,,,,bachelor
Technische Universität Dresden,Fakultät Psychologie at the TU Dresden,Psycholo Human Performance in Socio-Technical Systems (M.Sc),4 semesters,120,155,49,34,0.537,26,74,0.04,d,c,b,d,,,,,master
Technische Universität Dresden,Fakultät Psychologie at the TU Dresden,Psycholo Cognitive-Affective Neuroscience (M.Sc.),4 semesters,120,100,39,26,0.529,23,77,0.05,d,b,c,d,,,,,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Business Administration (B.Sc.),6 semesters,180,183,46,32,0.571,57,43,0.17,,,,,,,,,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Business Administration for Resource Management (Diploma),9 semesters,270,10,10,3,0.1,,,0,,,,,,,,,master
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Business Administration (M.Sc.),4 semesters,120,132,29,78,0.419,52,48,0.08,,,,,,,,,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Energy and Resource Management (MBA),4 semesters,120,13,10,10,0.1,62,38,0.38,,,,,,,,,master
Technische Universität Bergakademie Freiberg,Fakultät für Chemie und Physik at the TU Bergakademie Freiberg,Chemistry (B.Sc.),6 semesters,180,72,20,13,,61,39,,,,,,,,,,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Chemie und Physik at the TU Bergakademie Freiberg,Chemistry (D),10 semesters,300,72,22,,,72,28,,,,,,,,,,phd
Technische Universität Bergakademie Freiberg,Fakultät für Chemie und Physik at the TU Bergakademie Freiberg,Chemistry (M.Sc.),4 semesters,120,38,10,,,63,37,,,,,,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (B.Sc.),7 semesters,210,110,27,15,0.367,85,15,0.36,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (B.Sc.),7 semesters,210,39,6,13,,49,51,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (B.Sc.),7 semesters,210,39,10,10,,79,21,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (B.Sc.),7 semesters,210,33,9,10,,88,12,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (D),10 semesters,,129,24,10,,4,9,0.04,,c,c,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (D),10 semesters,,72,11,10,,61,39,0.01,,c,d,e,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (D)",10 semesters,,22,1,11,0.667,73,27,0.05,,b,d,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Process Engineering (D),4 semesters,120,7,1,10,,43,57,0,,c,d,e,d,c,b,d,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 3  semesters)",3 semesters,90,31,13,31,0.419,71,29,0.1,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (M.Sc.),3 semesters,90,25,14,10,,64,36,0.16,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (M.Sc.),3 semesters,90,34,11,22,0.442,85,15,0.38,,a,d,d,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Material Science (M.Sc.),4 semesters,120,54,18,10,,4,9,1,,a,a,b,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (M.Eng.)",3 semesters,90,12,3,10,,67,33,0.42,,a,d,d,d,d,b,e,master
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (M.Sc.),3 semesters,90,6,1,,,33,67,0.17,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical and Process Engineering (M.Sc.),4 semesters,120,37,37,,,70,30,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Science and Engineering (M.Sc.),4 semesters,120,10,1,10,,90,10,0.1,,a,c,c,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Technology and Application of Inorganic Engineering Materials (M.Sc.),4 semesters,120,13,13,,,85,15,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 4  semesters)",4 semesters,120,55,18,12,,89,11,0.75,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geology/Mineralogy (B.Sc.),6 semesters,180,173,42,41,0.622,63,37,0.07,b,b,c,c,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geoecology (B.Sc.),6 semesters,180,130,40,26,0.692,51,49,0.03,b,c,c,c,c,b,c,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geoinformatics and Geophysics (B.Sc.),6 semesters,180,61,11,10,,69,31,0.1,b,a,c,b,e,b,c,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geosciences (M.Sc.),4 semesters,120,164,34,38,0.286,59,41,0.06,b,b,c,c,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geoecology (M.Sc.),4 semesters,120,63,25,28,0.351,38,62,0,b,c,c,c,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Groundwater Management (M.Sc.),4 semesters,120,62,29,10,,76,24,0.95,b,a,a,a,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geophysics (M.Sc.),4 semesters,120,35,14,10,0.095,80,20,0.14,b,a,a,a,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geoscience / Geoengineering (M.Sc.),4 semesters,120,10,,,,40,60,1,b,a,a,a,,,,,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Geowissenschaften, Geotechnik und Bergbau at the TU Bergakademie Freiberg",Geoinformatics (M.Sc.),4 semesters,120,3,,10,,,,0,b,c,d,d,,,,,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Industrial Engineering (B.Sc.),7 semesters,210,65,13,20,0.45,78,22,0.25,d,a,c,c,c,a,b,b,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Industrial Engineering (D),10 semesters,300,66,17,,,79,21,,d,d,c,d,c,a,b,b,phd
Technische Universität Bergakademie Freiberg,Fakultät für Wirtschaftswissenschaften at the TU Bergakademie Freiberg,Industrial Engineering (M.Sc.),3 semesters,90,43,20,31,0.774,70,30,0.19,d,b,b,c,e,a,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (B.Sc.),7 semesters,210,110,27,15,0.367,85,15,0.36,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (B.Sc.),7 semesters,210,39,6,13,,49,51,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (B.Sc.),7 semesters,210,39,10,10,,79,21,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (B.Sc.),7 semesters,210,33,9,10,,88,12,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (D),10 semesters,,129,24,10,,4,9,0.04,,c,c,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (D),10 semesters,,72,11,10,,61,39,0.01,,c,d,e,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (D)",10 semesters,,22,1,11,0.667,73,27,0.05,,b,d,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Process Engineering (D),4 semesters,120,7,1,10,,43,57,0,,c,d,e,d,c,b,d,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 3  semesters)",3 semesters,90,31,13,31,0.419,71,29,0.1,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (M.Sc.),3 semesters,90,25,14,10,,64,36,0.16,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (M.Sc.),3 semesters,90,34,11,22,0.442,85,15,0.38,,a,d,d,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Material Science (M.Sc.),4 semesters,120,54,18,10,,4,9,1,,a,a,b,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (M.Eng.)",3 semesters,90,12,3,10,,67,33,0.42,,a,d,d,d,d,b,e,master
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (M.Sc.),3 semesters,90,6,1,,,33,67,0.17,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical and Process Engineering (M.Sc.),4 semesters,120,37,37,,,70,30,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Science and Engineering (M.Sc.),4 semesters,120,10,1,10,,90,10,0.1,,a,c,c,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Technology and Application of Inorganic Engineering Materials (M.Sc.),4 semesters,120,13,13,,,85,15,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 4  semesters)",4 semesters,120,55,18,12,,89,11,0.75,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (B.Sc.),7 semesters,210,110,27,15,0.367,85,15,0.36,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (B.Sc.),7 semesters,210,39,6,13,,49,51,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (B.Sc.),7 semesters,210,39,10,10,,79,21,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (B.Sc.),7 semesters,210,33,9,10,,88,12,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (D),10 semesters,,129,24,10,,4,9,0.04,,c,c,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (D),10 semesters,,72,11,10,,61,39,0.01,,c,d,e,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (D)",10 semesters,,22,1,11,0.667,73,27,0.05,,b,d,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Process Engineering (D),4 semesters,120,7,1,10,,43,57,0,,c,d,e,d,c,b,d,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 3  semesters)",3 semesters,90,31,13,31,0.419,71,29,0.1,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (M.Sc.),3 semesters,90,25,14,10,,64,36,0.16,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (M.Sc.),3 semesters,90,34,11,22,0.442,85,15,0.38,,a,d,d,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Material Science (M.Sc.),4 semesters,120,54,18,10,,4,9,1,,a,a,b,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (M.Eng.)",3 semesters,90,12,3,10,,67,33,0.42,,a,d,d,d,d,b,e,master
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (M.Sc.),3 semesters,90,6,1,,,33,67,0.17,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical and Process Engineering (M.Sc.),4 semesters,120,37,37,,,70,30,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Computational Science and Engineering (M.Sc.),4 semesters,120,10,1,10,,90,10,0.1,,a,c,c,e,d,b,e,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Technology and Application of Inorganic Engineering Materials (M.Sc.),4 semesters,120,13,13,,,85,15,1,,a,a,b,e,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 4  semesters)",4 semesters,120,55,18,12,,89,11,0.75,,a,c,c,d,b,b,d,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Materials Science and Materials Technology (D),10 semesters,300,166,12,46,0.685,84,16,0.12,,a,c,b,a,a,a,a,phd
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Automotive Engineeri Materials and Components (D),10 semesters,300,54,5,10,,4,9,0.17,,a,d,d,a,b,a,a,phd
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Nanotechnology (D),10 semesters,300,46,10,,,74,26,0.02,,c,c,d,a,b,a,a,phd
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Foundry Engineering (B.Sc.),7 semesters,210,16,3,10,,4,6,0.06,,b,d,d,b,b,a,b,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Automotive Engineeri Materials and Components (M.Sc.),3 semesters,90,32,7,10,,4,6,0.75,,a,d,c,e,c,a,d,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Foundry Engineering (M.Sc.),3 semesters,90,10,6,,,70,30,0,,,,,e,b,a,d,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Nanotechnology (M.Sc.),4 semesters,120,4,4,,,75,25,0.25,,a,c,c,e,c,a,d,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Advanced Materials Analysis (M.Sc.),4 semesters,120,,0,,,,,,,c,a,c,e,b,a,d,bachelor
Technische Universität Bergakademie Freiberg,Fakultät für Werkstoffwissenschaft und Werkstofftechnologie at the TU Bergakademie Freiberg,Metallic Materials Technology (M.Sc.),3 semesters,90,15,15,,,4,7,1,,a,a,a,e,d,a,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (B.Sc.),7 semesters,210,110,27,15,0.367,85,15,0.36,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (B.Sc.),7 semesters,210,39,6,13,,49,51,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (B.Sc.),7 semesters,210,39,10,10,,79,21,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Power Engineering (B.Sc.),7 semesters,210,33,9,10,,88,12,0.18,,a,d,d,c,b,b,c,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Mechanical Engineering (D),10 semesters,,129,24,10,,4,9,0.04,,c,c,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Process Engineering (D),10 semesters,,72,11,10,,61,39,0.01,,c,d,e,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Ceramics, Glass and Building Materials Engineering (D)",10 semesters,,22,1,11,0.667,73,27,0.05,,b,d,d,b,b,b,b,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Process Engineering (D),4 semesters,120,7,1,10,,43,57,0,,c,d,e,d,c,b,d,phd
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg","Mechanical Engineering (M.Sc., 3  semesters)",3 semesters,90,31,13,31,0.419,71,29,0.1,,a,c,c,d,c,b,d,bachelor
Technische Universität Bergakademie Freiberg,"Fakultät für Maschinenbau, Verfahrens- und Energietechnik at the TU Bergakademie Freiberg",Environmental Engineering (M.Sc.),3 semesters,90,25,14,10,,64,36,0.16,,a,c,c,d,b,b,d,bachelor
